generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4410000,4,4.95519,-772.975,1.05625,0.45
4420000,4,-4.29488,-764.548,5.35133,0.464
4430000,4,5.95047,-769.874,2.5339,0.479
4440000,2,2.63756,-775.328,2.13452,0.459
4450000,4,3.10169,-771.427,3.29425,0.465333
4460000,2,2.27999,-767.759,0.835953,0.462
4470000,2,-3.32893,-776.263,0.420436,0.439
4480000,2,0.6818,-775.933,1.79749,0.4495
4490000,4,0.864314,-773.369,0.708353,0.484
4500000,3,-1.03302,-765.696,2.33343,0.463
4510000,3,3.59196,-772.81,0.583385,0.483
4520000,4,3.87696,-774.038,1.0922,0.451667
4530000,3,0.723385,-770.003,2.49321,0.506
4540000,2,-2.91262,-781.455,3.71424,0.46
4550000,4,-3.50393,-766.15,1.219,0.467
4560000,2,1.39258,-771.312,2.37084,0.4529
4570000,1,2.621,-784.157,0.626914,0.455
4580000,2,-0.935342,-771.438,3.10008,0.462833
4590000,4,1.5115,-767.868,4.55303,0.497
4600000,4,0.530495,-783.515,0.966657,0.472
4610000,3,-1.62484,-768.107,0.778889,0.452
4620000,4,-1.13993,-772.358,2.09223,0.452667
4630000,4,1.30672,-776.945,1.24608,0.46275
4640000,2,4.89106,-777.216,0.787807,0.465
4650000,5,4.30063,-769.584,1.95176,0.479
4660000,4,2.06713,-772.026,3.9988,0.45025
4670000,2,2.69892,-775.228,1.01753,0.454
4680000,3,-0.636315,-770.924,3.16274,0.45825
4690000,4,0.0548306,-764.749,2.05217,0.4655
4700000,3,3.65598,-775.96,0.996598,0.450833
4710000,3,2.14334,-769.44,2.17727,0.464
4720000,3,1.59342,-765.323,1.666,0.464
4730000,2,2.33845,-773.621,0.641936,0.423
4740000,3,-0.319536,-770.242,3.19059,0.46
4750000,3,0.157902,-775.271,2.40715,0.469
4760000,5,-1.4457,-766.968,6.21951,0.46
4770000,2,-5.24177,-773.267,4.04395,0.478
4780000,3,0.779692,-776.306,1.77159,0.4555
4790000,2,1.34855,-770.398,2.10035,0.473
4800000,4,4.45989,-763.478,1.19433,0.452222
4810000,2,2.08184,-778.529,0.537214,0.4516
4820000,3,0.93058,-773.81,1.82662,0.458
4830000,2,2.21391,-775.283,2.63041,0.424
4840000,4,2.11716,-767.89,1.33241,0.487
4850000,3,3.98326,-769.232,1.5032,0.45895
4860000,3,5.22331,-769.033,0.635258,0.481
